top1 肖申克的救赎
top2 霸王别姬
top3 这个杀手不太冷
top4 阿甘正传
top5 美丽人生
top6 泰坦尼克号
top7 千与千寻
top8 辛德勒的名单
top9 盗梦空间
top10 机器人总动员
top11 忠犬八公的故事
top12 三傻大闹宝莱坞
top13 海上钢琴师
top14 放牛班的春天
top15 大话西游之大圣娶亲
top16 楚门的世界
top17 教父
top18 龙猫
top19 星际穿越
top20 熔炉
top21 无间道
top22 触不可及
top23 当幸福来敲门
top24 乱世佳人
top25 怦然心动
top26 疯狂动物城
top27 天堂电影院
top28 蝙蝠侠：黑暗骑士
top29 十二怒汉
top30 鬼子来了
top31 活着
top32 少年派的奇幻漂流
top33 指环王3：王者无敌
top34 搏击俱乐部
top35 天空之城
top36 控方证人
top37 飞屋环游记
top38 大话西游之月光宝盒
top39 罗马假日
top40 窃听风暴
top41 两杆大烟枪
top42 飞越疯人院
top43 摔跤吧！爸爸
top44 闻香识女人
top45 哈尔的移动城堡
top46 辩护人
top47 死亡诗社
top48 V字仇杀队
top49 海豚湾
top50 教父2
top51 指环王2：双塔奇兵
top52 美丽心灵
top53 指环王1：魔戒再现
top54 饮食男女
top55 情书
top56 素媛
top57 狮子王
top58 美国往事
top59 钢琴家
top60 小鞋子
top61 七宗罪
top62 被嫌弃的松子的一生
top63 致命魔术
top64 天使爱美丽
top65 本杰明·巴顿奇事
top66 西西里的美丽传说
top67 音乐之声
top68 黑客帝国
top69 让子弹飞
top70 拯救大兵瑞恩
top71 看不见的客人
top72 低俗小说
top73 勇敢的心
top74 剪刀手爱德华
top75 沉默的羔羊
top76 末代皇帝
top77 大闹天宫
top78 蝴蝶效应
top79 入殓师
top80 春光乍泄
top81 心灵捕手
top82 哈利·波特与魔法石
top83 玛丽和马克思
top84 阳光灿烂的日子
top85 布达佩斯大饭店
top86 禁闭岛
top87 幽灵公主
top88 第六感
top89 猫鼠游戏
top90 重庆森林
top91 狩猎
top92 致命ID
top93 断背山
top94 大鱼
top95 穿条纹睡衣的男孩
top96 加勒比海盗
top97 告白
top98 甜蜜蜜
top99 一一
top100 射雕英雄传之东成西就
